ID,Eco_Final_Pred,Movement_Final_Pred,Dmg_Final_Pred,Flash_Final_Pred,Grenade_Final_Pred,Kill_Final_Pred,Wf_Final_Pred,isCheater
别搞啊兄弟_g151-n-20230818224312275136668,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.608662e-12,0.0,1.579924e-25,8.243036000000001e-17,0
Sky灬楠岽_g151-n-20230818224312275136668,4.9539683e-08,1.4746206e-08,2.6119231e-08,2.3989735e-13,0.0,1.8408206000000002e-26,5.4460948e-08,0
卡卡呀_g151-n-20230818224312275136668,4.9539683e-08,1.4746207e-08,2.6119231e-08,1.1919949e-12,0.0,4.287555e-22,0.20241061,0
Sadbanana_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119235e-08,2.9630956e-10,0.0,2.0991625e-21,5.7409926e-26,0
7yubnys_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119231e-08,1.612092e-11,0.0,1.7184179e-15,0.058528885,0
雪糕Dy_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119233e-08,1.5053331e-12,2.2597569e-23,5.8489883000000004e-24,0.2295594,0
演绎那场纠结kzz_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119226e-08,2.8188559e-11,0.0,4.3411497000000006e-16,0.04884592,1
^萧瑟^_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119226e-08,4.677922e-09,0.0,4.9212975e-22,0.082161956,0
天天麻衣_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119235e-08,9.440754e-14,4.7246753e-24,1.4921537999999999e-25,0.052823715,0
小静3119_g151-n-20230818230414895181760,4.9539683e-08,1.4746206e-08,2.6119228e-08,1.0963978e-11,0.0,1.0390274000000001e-21,0.0,0
steve.love_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119233e-08,5.4909627e-12,0.0,1.1959448e-20,2.025951e-25,0
Doncicnb77_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.611923e-08,5.7353993e-11,0.0,3.5848992000000003e-22,2.5704121e-15,0
sucker。_g151-n-20230818230414895181760,4.9539683e-08,1.4746205e-08,2.6119231e-08,3.1986986e-11,0.0,1.0045961e-26,0.055722203,0
